id;power;cordinates;antenna_Location_WGS84_E;antenna_Location_WGS84_N;type;building;streetNumber;street;town;district;state;country;postal
3868;Mittel;POINT (2754139 1259850);47.4713484071374;9.48345623453256;4G;;9; Wiesentalstrasse;Rorschacherberg;; 9404; Schweiz; 9404
3869;Gross;POINT (2653224 1254432);47.43853287027091;8.144196486190523;4G;;2; Hübelweg;Veltheim AG;; 5106; Schweiz; 5106
3870;Mittel;POINT (2675633 1249936);47.395905405419946;8.440476691473327;4G;;48; Freiestrasse;Schlieren;; 8952; Schweiz; 8952
3871;Gross;POINT (2636035 1245850);47.3625109433342;7.915643812754072;4G;;138; Industriestrasse;Olten 1 Fächer;; 4601; Schweiz; 4601
3872;Gross;POINT (2703426 1218800);47.112115425382896;8.801401777307822;4G;;;Hinterwies;Einsiedeln Zust;; 8840; Schweiz; 8840
3873;Gross;POINT (2537967 1174486);46.71868182798653;6.627261147816343;4G;;3; Chemin des Grands Champs;Gressy;; 1432; Schweiz; 1432
3874;Gross;POINT (2762354 1245028);47.336110049810074;9.587000477302105;4G;;18; Bergliweg;Montlingen;; 9462; Schweiz; 9462
3875;Gross;POINT (2527292 1151640);46.512104325911466;6.491261768162623;4G;;;Les Résidences;Morges Charpent.;; 1110; Schweiz; 1110
3876;Mittel;POINT (2499800 1113870);46.16883051043181;6.141249383503951;4G;;75; Route de Drize;Vessy;; 1234; Schweiz; 1234
3877;Mittel;POINT (2731236 1266871);47.53944887143531;9.181799631632925;4G;;9; Industriestrasse;Götighofen;; 8583; Schweiz; 8583
3878;Mittel;POINT (2600347 1200698);46.9573613452815;7.4431910765483895;4G;;;Box Academy;Bern;; 3013; Schweiz; 3013
3879;Mittel;POINT (2666140 1203670);46.98080387417092;8.307953935288968;4G;;1; Mühlestrasse;Hergiswil NW;; 6052; Schweiz; 6052
3883;Mittel;POINT (2702170 1246594);47.36226932309197;8.791168086249105;4G;;101; Hochstrasse;Pfäffikon Bhfstr;; 8330; Schweiz; 8330
3884;Sehr Klein;POINT (2602494 1128358);46.30662349989618;7.4710165311270185;4G;;;Guarda Golf;Ollon VS;; 3971; Schweiz; 3971
3885;Mittel;POINT (2709994 1268773);47.56045324711574;8.900189453924687;4G;;85; Bahnhofstrasse;Frauenfeld 1 Zust;; 8500; Schweiz; 8500
3887;Sehr Klein;POINT (2608356 1126014);46.285491051579314;7.547065324010091;4G;;;Sierre;Corin-de-la-Crête;; 3960; Schweiz; 3960
3888;Mittel;POINT (2689000 1283059);47.692100856643044;8.624142786994978;4G;;1c; Rheinweg;Neuhausen Rundbuck;; 8212; Schweiz; 8212
3889;Mittel;POINT (2562080 1123470);46.261583306034964;6.946835550539212;4G;;;Le panetier;Collombey;; 1868; Schweiz; 1868
3891;Mittel;POINT (2691559 1256368);47.45172742368898;8.652723579518538;4G;;90; Alte Winterthurerstrasse;Nürensdorf;; 8309; Schweiz; 8309
3892;Sehr Klein;POINT (2611852 1269873);47.579449497108534;7.596154466698992;4G;Stücki; 70; Hochbergerstrasse;Basel;; 4057; Schweiz; 4057
3893;Sehr Klein;POINT (2621737 1206176);47.00628263242911;7.72446580839403;4G;;26; Trachselwaldstrasse;Grünenmatt;; 3452; Schweiz; 3452
3894;Sehr Klein;POINT (2549905 1166825);46.650775437995414;6.7842364642392825;4G;Caserne de Moudon; 1; Moudon;Moudon;; 1510; Schweiz; 1510
3896;Gross;POINT (2679176 1279102);47.65777868583995;8.492591179129676;4G;;;Grillstelle Staamüri;Osterfingen;; 8218; Schweiz; 8218
3897;Mittel;POINT (2666711 1210898);47.045759036217525;8.316520886130796;4G;Schurter; 8; Werkhofstrasse;St. Niklausen LU;; 6005; Schweiz; 6005
3898;Mittel;POINT (2676321 1251917);47.41364202813374;8.449927226910717;4G;;42; Zürcherstrasse;Unterengstringen;; 8103; Schweiz; 8103
3899;Gross;POINT (2714262 1261022);47.49002637439087;8.954897145350039;4G;;A1; Freudenberg;;; 9345; Schweiz; 9345
3900;Mittel;POINT (2640361 1231197);47.23046765666707;7.971592033304575;4G;;;Wigeregass;Mehlsecken;; 6260; Schweiz; 6260
3901;Mittel;POINT (2560839 1205664);47.000870199591716;6.923726728984818;4G;;19-21; Avenue des Cadolles;Neuchâtel Ecluse;; 2004; Schweiz; 2004
3902;Mittel;POINT (2594334 1196064);46.91565287573247;7.364252863908075;4G;;711; Freiburgstrasse;Oberwangen b. Bern;; 3173; Schweiz; 3173
3903;Gross;POINT (2555306 1206034);47.0038477389511;6.850942632197807;4G;;;Montmollin;Montezillon;; 2037; Schweiz; 2037
3904;Gross;POINT (2546844 1170809);46.6863749558887;6.743790177207303;4G;;;Route de Corrençon;;; 1064; Schweiz; 1064
3905;Mittel;POINT (2693366 1262618);47.507678661662595;8.677989958146867;4G;;14; In der Euelwies;Winterthur;; 8408; Schweiz; 8408
3907;Mittel;POINT (2766099 1256210);47.43571070021679;9.640683639411566;4G;;16; Bahnhofstrasse;Au SG;; 9434; Schweiz; 9434
3908;Mittel;POINT (2687070 1256090);47.4498367203326;8.593152682709789;4G;;;Acht Grad Ost AG;Kloten Kaserne;; 8302; Schweiz; 8302
3909;Mittel;POINT (2533630 1153200);46.526796182961604;6.573613788230747;4G;;6; Rue de la Mouline;Chavannes-Renens;; 1022; Schweiz; 1022
3910;Mittel;POINT (2506109 1160426);46.58848980473504;6.213498934776852;4G;;35; Crêt-Meylan;Le Brassus;; 1348; Schweiz; 1348
3911;Mittel;POINT (2682325 1249780);47.39370007348963;8.529080783653185;4G;;3; Scheffelstrasse;Zürich Scheffelstr;; 8037; Schweiz; 8037
3912;Sehr Klein;POINT (2684702 1247011);47.36849620480518;8.560037571899514;4G;;;Schule Ilgen;Zürich Neumünster;; 8032; Schweiz; 8032
3914;Mittel;POINT (2711682 1092206);45.972199974253904;8.879529646853992;4G;;11; Via Credera;Caslano;; 6987; Schweiz; 6987
3916;Gross;POINT (2665264 1208476);47.02411837267706;8.297131886155057;4G;;3; Grabenhofstrasse;Kriens Zust Pakete;; 6010; Schweiz; 6010
3917;Mittel;POINT (2534049 1153877);46.53292733317047;6.578977488992649;4G;;20; Rue de la Blancherie;Chavannes-Renens;; 1022; Schweiz; 1022
3918;Mittel;POINT (2748345 1248513);47.370746948903836;9.402859933499354;4G;;;Hintere Göbsi;Bühler;; 9055; Schweiz; 9055
3919;Mittel;POINT (2760963 1206938);46.9939666538799;9.555008057027218;4G;;;Wiesenstrasse;Jenins;; 7307; Schweiz; 7307
3920;Klein;POINT (2744980 1253250);47.41408883041094;9.359857879403341;4G;;3; Grünhaldenstrasse;St. Gallen Kaserne;; 9000; Schweiz; 9000
3921;Gross;POINT (2658299 1259349);47.48232449261081;8.21211215318455;4G;;1; Zürcherstrasse;Windisch;; 5210; Schweiz; 5210
3922;Mittel;POINT (2708155 1166520);46.6411644457197;8.851297605657027;4G;;;Fuorns;Platta;; 7185; Schweiz; 7185
3924;Mittel;POINT (2688425 1173608);46.707821583678026;8.595000955153845;4G;;15; Alter Sustenweg;Wassen UR;; 6484; Schweiz; 6484
3925;Mittel;POINT (2747297 1256198);47.44008080594857;9.391521824542485;4G;;89; Langgasse;St. Gallen;; 9008; Schweiz; 9008
3926;Sehr Klein;POINT (2537705 1152578);46.5215936826388;6.626804968274791;4G;;17; Rue du Port-Franc;Lausanne;; 1002; Schweiz; 1002
3927;Gross;POINT (2533468 1152246);46.51819879238049;6.571640192331245;4G;;;École Polytechnique Fédérale de Lausanne;Ecublens VD;; 1024; Schweiz; 1024
3930;Gross;POINT (2674680 1251659);47.411509868506776;8.428142138858517;4G;;A4; Weiningen (ZH);Weiningen ZH;; 8104; Schweiz; 8104
3932;Mittel;POINT (2759205 1190578);46.84728135123321;9.52618167896563;4G;;1; Kasernenstrasse;Chur Kaserne;; 7000; Schweiz; 7000
3933;Gross;POINT (2719733 1260389);47.48336068031981;9.027308612235935;4G;;;Chrüzeichstrasse;Bronschhofen;; 9552; Schweiz; 9552
3934;Mittel;POINT (2611868 1259902);47.48977233480678;7.596102556947402;4G;;;Dachser Spedition AG;Reinach BL 1;; 4153; Schweiz; 4153
3935;Sehr Klein;POINT (2596270 1226740);47.19159695064824;7.38940990333723;4G;;43; Nordbahnhofstrasse;Grenchen Schmelzi;; 2540; Schweiz; 2540
3936;Mittel;POINT (2698960 1262213);47.503218173674334;8.752142820137527;4G;;69; Frauenfelderstrasse;Reutlingen;; 8404; Schweiz; 8404
3937;Gross;POINT (2500103 1119536);46.219837669889145;6.143959648936609;4G;Assessment Capacities Project (ACAPS); 23; Avenue de France;Genève;; 1202; Schweiz; 1202
3938;Mittel;POINT (2667975 1176918);46.73999181584044;8.32808601162568;4G;;;Bergstation Tällibahn;Gadmen;; 3863; Schweiz; 3863
3939;Klein;POINT (2776910 1175710);46.70912266108041;9.752458544984329;4G;;;Landwassertunnel;Davos Wiesen;; 7494; Schweiz; 7494
3940;Gross;POINT (2686275 1241615);47.31976383938512;8.579821501639797;4G;;10; Kohlrainstrasse;Küsnacht ZH Zust;; 8700; Schweiz; 8700
3941;Gross;POINT (2647878 1260943);47.497501216695525;8.074028079897701;4G;;A3; Bözen;Bözen;; 5076; Schweiz; 5076
3942;Mittel;POINT (2549704 1159739);46.58702010697959;6.78238677950595;4G;;;Ferlens VD;Ferlens VD;; 1076; Schweiz; 1076
3944;Mittel;POINT (2537987 1152429);46.52027964777091;6.630499798757561;4G;;;Lausanne-Flon;Lausanne;; 1003; Schweiz; 1003
3946;Sehr Klein;POINT (2695593 1151725);46.51000804272259;8.684181838843958;4G;;;Ambrì Sopra;Ambrì;; 6775; Schweiz; 6775
3947;Gross;POINT (2613561 1174890);46.7250735942556;7.616028721309893;4G;;14; Moosweg;Gwatt Lohnerstr;; 3645; Schweiz; 3645
3948;Mittel;POINT (2605879 1255713);47.452176785370156;7.516578331753564;4G;;18a; Langmättliweg;Blauen;; 4223; Schweiz; 4223
3949;Gross;POINT (2597870 1181400);46.783766727706194;7.41074236092306;4G;;;Wyssenhalten;Rüschegg Heubach;; 3154; Schweiz; 3154
3950;Gross;POINT (2677268 1175804);46.72895959004329;8.44948414965568;4G;PB Swiss Tools; 11; Gadmen;; Verwaltungsregion Oberland; Uri; Schweiz;
3951;Mittel;POINT (2602349 1249394);47.3953646314155;7.469738699518421;4G;;;Allmendstrasse;Bärschwil;; 4252; Schweiz; 4252
3952;Klein;POINT (2650153 1115106);46.18555440630866;8.08820718924282;4G;;;Simplonstrasse;Simplon Dorf;; 3907; Schweiz; 3907
3953;Klein;POINT (2544840 1190080);46.859555056406045;6.715268535968012;4G;;;Tunnel de Concise;Concise;; 1426; Schweiz; 1426
3954;Sehr Klein;POINT (2683539 1250070);47.39615528667735;8.545213166357785;4G;;;"Brunnen ""Dogge mit Zürcher Wappen";Zürich;; 8057; Schweiz; 8057
3955;Mittel;POINT (2609460 1267952);47.56221127447187;7.5643201309016606;4G;;49; Wasgenring;Basel;; 4055; Schweiz; 4055
3956;Gross;POINT (2564436 1162700);46.61460387161601;6.97437225943833;4G;Einsatz-Zentrum Region Süd; 9; Les Ponts d'Amont;Vaulruz;; 1627; Schweiz; 1627
3957;Sehr Klein;POINT (2690108 1244845);47.34829977537464;8.631163824238453;4G;;7; Süessblätz;Ebmatingen;; 8123; Schweiz; 8123
3958;Gross;POINT (2693895 1112496);46.15740170418193;8.654143274824186;4G;;;Rasa;Verdasio;; 6655; Schweiz; 6655
3959;Klein;POINT (2635141 1128233);46.30458756594458;7.8947702054577915;4G;;;Berg;Eggerberg;; 3939; Schweiz; 3939
3960;Mittel;POINT (2718952 1080536);45.866003782173124;8.970361948300575;4G;;;Autostrada A24;Rancate;; 6862; Schweiz; 6862
3961;Mittel;POINT (2682377 1201459);46.95910117642947;8.520942468439184;4G;;24; Hugenstrasse;Emmetten;; 6376; Schweiz; 6376
3962;Gross;POINT (2672534 1195965);46.910833296644846;8.390758113112549;4G;KW Dallenwil; 4; Oberau;Wirzweli;; 6383; Schweiz; 6383
3963;Mittel;POINT (2636950 1102047);46.06893689963819;7.916183915736971;4G;;;Felskinn;Saas-Almagell;; 3905; Schweiz; 3905
3964;Gross;POINT (2619860 1226580);47.189872389559206;7.7006775611423635;4G;;12c; Güterstrasse;Hbuchsee Zust;; 3360; Schweiz; 3360
3965;Mittel;POINT (2590270 1215050);47.086385788008464;7.3104925724663365;4G;;66; Busswilstrasse;Lyss Werkstrasse;; 3250; Schweiz; 3250
3966;Gross;POINT (2613964 1144696);46.45345425894543;7.620389480110244;4G;Üeschinenhütte; 44; Inner Ueschene;Kandersteg;; 3718; Schweiz; 3718
3968;Sehr Klein;POINT (2500736 1117627);46.20276117698979;6.152568099342768;4G;;1; Rue d'Aoste;Genève;; 1204; Schweiz; 1204
3970;Sehr Klein;POINT (2611252 1266842);47.55220017939955;7.588103143421803;4G;;67; Steinenvorstadt;Basel;; 4051; Schweiz; 4051
3971;Klein;POINT (2634064 1254634);47.44161923297599;7.8902213352663475;4G;;;Alte Landstrasse;Tecknau;; 4492; Schweiz; 4492
3972;Gross;POINT (2690563 1242223);47.324656969967954;8.636654835027295;4G;;7; Waidhof;Forch;; 8127; Schweiz; 8127
3973;Gross;POINT (2609872 1269593);47.57696385175317;7.5698307483911105;4G;;18; Schlachthofstrasse;Basel;; 4056; Schweiz; 4056
3974;Mittel;POINT (2686351 1161902);46.60280257838885;8.5656837532378;4G;;;Gotthard-Strassentunnel;Hospental;; 6493; Schweiz; 6493
3975;Sehr Klein;POINT (2695396 1256095);47.448727219105784;8.703536343445498;4G;;40; Kemptpark;Kemptthal;; 8310; Schweiz; 8310
3976;Sehr Klein;POINT (2498989 1118892);46.213878787121445;6.129664078912789;4G;;;Rue de la Servette;Genève;; 1211; Schweiz; 1211
3978;Sehr Klein;POINT (2685887 1245411);47.3539534729126;8.575417340909222;4G;Universitätsklinik Balgrist; 340; Forchstrasse;Zürich;; 8008; Schweiz; 8008
3980;Mittel;POINT (2697531 1262294);47.50416017642168;8.733196571116832;4G;;15; Jakobstrasse;Winterthur;; 8402; Schweiz; 8402
3981;Mittel;POINT (2613989 1265589);47.54087870354359;7.624424512276326;4G;;;Z.NOR;Muttenz Hauptstr;; 4132; Schweiz; 4132
3982;Mittel;POINT (2659577 1262176);47.50763448317102;8.229444900481589;4G;;;Reformierte Kirche;Rüfenach AG;; 5235; Schweiz; 5235
3985;Mittel;POINT (2693604 1127184);46.289553884572;8.65332024552577;4G;;;Someo climbing access path;Someo;; 6674; Schweiz; 6674
3986;Mittel;POINT (2685495 1251067);47.404870567057145;8.571310124295866;4G;;11; Saatlenstrasse;Zürich;; 8051; Schweiz; 8051
3987;Sehr Klein;POINT (2717428 1103994);46.077245174855086;8.95658712464592;4G;;;MiguelonTrail;Bigorio;; 6954; Schweiz; 6954
3989;Sehr Klein;POINT (2717934 1105825);46.09362463395183;8.963586376028234;4G;;;Via Gola di Lago;Odogno;; 6960; Schweiz; 6960
3990;Gross;POINT (2504611 1118077);46.207369739264806;6.202672675628992;4G;;3; Chemin des Choucas;Chêne-Bourg;; 1225; Schweiz; 1225
3991;Mittel;POINT (2717694 1096732);46.01188573829169;8.958206550801156;4G;;10; Via Monte Brè;Lugano 4;; 6900; Schweiz; 6900
3992;Gross;POINT (2546337 1201019);46.95807265341109;6.733607373531579;4G;Antenne TV; 10; Brot-Plamboz;Noiraigue;; 2103; Schweiz; 2103
3993;Gross;POINT (2595524 1238838);47.30040871739343;7.379443800095581;4G;;76; Pré Gris;Roches BE;; 2762; Schweiz; 2762
3994;Mittel;POINT (2533038 1153167);46.52644026608001;6.565903448573186;4G;;104; Avenue du Tir Fédéral;Ecublens VD;; 1024; Schweiz; 1024
3995;Gross;POINT (2686506 1211214);47.04631395389064;8.577043152871815;4G;;A4; Bernerhöhe;Steinerberg;; 6416; Schweiz; 6416
3996;Mittel;POINT (2752284 1241852);47.309956664690965;9.452729496793724;4G;;;Schwarzeneggstrasse;Brülisau;; 9058; Schweiz; 9058
3997;Mittel;POINT (2659215 1272582);47.60125113859438;8.226025584271333;4G;;46; Bahnhofstrasse;Koblenz;; 5322; Schweiz; 5322
3998;Sehr Klein;POINT (2678030 1210840);47.04400192344228;8.465448660824801;4G;;4a; Zentrum;Rigi Kaltbad;; 6356; Schweiz; 6356
3999;Sehr Klein;POINT (2497073 1113957);46.16920126464208;6.105927517939591;4G;Lrg; 6; Chemin des Aulx;Plan-les-Oua Pl. A;; 1228; Schweiz; 1228
4000;Gross;POINT (2560934 1141540);46.4240650269002;6.930450822683116;4G;;A9; Sonzier;Glion;; 1823; Schweiz; 1823
4001;Sehr Klein;POINT (2559362 1142488);46.43249900803934;6.9099187272624585;4G;;;Marché couvert;Chernex;; 1822; Schweiz; 1822
4002;Mittel;POINT (2688477 1282151);47.6840067520213;8.616995596350858;4G;;24; Zelgstrasse;Neuhausen Rundbuck;; 8212; Schweiz; 8212
4003;Gross;POINT (2664970 1244468);47.34786565212639;8.298450982136245;4G;;;Forstamt Wohlen;Wohlen AG Jurastr;; 5610; Schweiz; 5610
4004;Gross;POINT (2629232 1187903);46.84162776217746;7.821849685607067;4G;;66a; Pfaffenmoosstrasse;Eggiwil Zustellung;; 3537; Schweiz; 3537
4005;Gross;POINT (2613979 1212270);47.06130636947102;7.62263823933125;4G;;11; Kirchbergstrasse;Burgdorf PF mob;; 3400; Schweiz; 3400
4006;Mittel;POINT (2611374 1266474);47.548888400244024;7.589714534261421;4G;;;Mascotte;Basel SPS;; 4002; Schweiz; 4002
4007;Mittel;POINT (2718344 1096597);46.01055800928622;8.966562715316964;4G;;7; Via alla Chiesa;Viganello;; 6962; Schweiz; 6962
4008;Sehr Klein;POINT (2617155 1170336);46.68402590461584;7.662872181655689;4G;Zeughaus; 37; Simmentalstrasse;Spiez Zustellung;; 3700; Schweiz; 3700
4009;Mittel;POINT (2683243 1253887);47.43052002861437;8.542003651879629;4G;;59; Caspar-Wüst-Strasse;Zürich;; 8052; Schweiz; 8052
4011;Gross;POINT (2575541 1184575);46.81187838959259;7.118168526775462;4G;;29; Route André-Piller;Givisiez Dist;; 1762; Schweiz; 1762
4012;Gross;POINT (2576100 1144676);46.4529893682491;7.127572939070293;4G;;;Route de la Braye;Château-d'Oex;; 1660; Schweiz; 1660
4013;Mittel;POINT (2563641 1210826);47.04746167977882;6.960152584254834;4G;;;Savagnier;Savagnier;; 2065; Schweiz; 2065
4014;Gross;POINT (2502490 1137110);46.37825678523139;6.171205809308054;4G;Etablissement scolaire Elisabeth de Portes; 55; Rue de la Tour;Crassier;; 1263; Schweiz; 1263
4015;Mittel;POINT (2576868 1183191);46.799476500563806;7.1356252474093225;4G;;101; Route de Villars;Villars-Glâne 1;; 1752; Schweiz; 1752
4016;Gross;POINT (2660878 1234065);47.254691774537775;8.24289003726916;4G;;;Sportcenter Tellimatt Fitness;Aesch LU;; 6287; Schweiz; 6287
4017;Mittel;POINT (2649936 1245714);47.36038186666567;8.099637748553993;4G;;9; Bahnhofstrasse;Gränichen Zust;; 5722; Schweiz; 5722
4018;Gross;POINT (2677008 1243957);47.34197388524341;8.457659869280839;4G;;A3; Landikon;Birmensdorf Zust;; 8903; Schweiz; 8903
4019;Gross;POINT (2744500 1269020);47.55598610570697;9.358613431010575;4G;;37; Hofstrasse;Romanshorn Zust P;; 8590; Schweiz; 8590
4020;Mittel;POINT (2682555 1243952);47.3412577398019;8.53105231902862;4G;;4; Kalchbühlstrasse;Zürich;; 8038; Schweiz; 8038
4021;Sehr Klein;POINT (2676600 1243960);47.342048389672314;8.45226198723123;4G;;"A3;A4"; Aesch (ZH);Aesch ZH;; 8904; Schweiz; 8904
4022;Mittel;POINT (2615272 1172500);46.70353765841366;7.638331079313746;4G;RKZ Spiez; 54; Industriestrasse;Spiez Zustellung;; 3700; Schweiz; 3700
4023;Gross;POINT (2689738 1152119);46.51436236076734;8.607981448749939;4G;;;Pesciüm;Airolo Caserma;; 6780; Schweiz; 6780
4024;Sehr Klein;POINT (2751975 1205134);46.979864772093045;9.436280613805252;4G;;;Laufbödenstübli;Vasön;; 7317; Schweiz; 7317
4025;Gross;POINT (2537325 1204397);46.98766541871981;6.614748882507423;4G;;149; Le Maix-Lidor;Cerneux-Péquignot;; 2414; Schweiz; 2414
4027;Sehr Klein;POINT (2697280 1261830);47.50002477843624;8.729764196392882;4G;;59; Stadthausstrasse;Winterthur Kaserne;; 8400; Schweiz; 8400
4028;Sehr Klein;POINT (2594225 1120079);46.23212778954684;7.363786261968202;4G;;;Parking du Scex;Sion rue Casernes;; 1950; Schweiz; 1950
4030;Sehr Klein;POINT (2577783 1183985);46.80665005871723;7.147572131546077;4G;;17B; Avenue du Moléson;Fribourg Pérolles;; 1700; Schweiz; 1700
4031;Sehr Klein;POINT (2560171 1173551);46.71197073548049;6.917754077619194;4G;;;Parc Automobile de l'Armée;Romont FR Dist;; 1680; Schweiz; 1680
4032;Sehr Klein;POINT (2614350 1178710);46.7594196416041;7.626468756889377;4G;;20; Bälliz;Thun Aarestrasse;; 3600; Schweiz; 3600
4035;Mittel;POINT (2782630 1186090);46.80091000080735;9.831365207957965;4G;Kongresszentrum; 49a; Talstrasse;Davos Platz Talstr;; 7270; Schweiz; 7270
4036;Sehr Klein;POINT (2533682 1155176);46.544575556419;6.5740071538004266;4G;;10a; Rue de la Vernie;Crissier 1 Dist;; 1023; Schweiz; 1023
4038;Mittel;POINT (2684145 1246343);47.362559987712686;8.552538629888353;4G;;17; Wiesenstrasse;Zürich;; 8008; Schweiz; 8008
4041;Mittel;POINT (2715510 1226594);47.18020967092687;8.962580830163965;4G;;;ARA Obermarch;Buttikon SZ;; 8863; Schweiz; 8863
4042;Gross;POINT (2552521 1152680);46.523728751957385;6.819868853538046;4G;;;Chemin de Puidoux;Granges (Veveyse);; 1614; Schweiz; 1614
4043;Mittel;POINT (2737210 1155600);46.537620411921964;9.227428483134464;4G;;A13; Nufenen;Nufenen;; 7437; Schweiz; 7437
4044;Gross;POINT (2695325 1125800);46.27686361182165;8.675366529173756;4G;;;a Preónz;Giumaglio;; 6678; Schweiz; 6678
4045;Klein;POINT (2628686 1233665);47.253275385403434;7.817584352329688;4G;;4b; Bernstrasse;Wynau;; 4923; Schweiz; 4923
4047;Gross;POINT (2761296 1260986);47.47984504094914;9.578766991136092;4G;Lobra AG; 1; Röteli;Thal;; 9425; Schweiz; 9425
4048;Sehr Klein;POINT (2503858 1116775);46.1955516659085;6.193185726781405;4G;;2; Avenue de Bel-Air;Chêne-Bourg;; 1225; Schweiz; 1225
4049;Gross;POINT (2523981 1152415);46.51870691834502;6.447996531642827;4G;;;AIEP- 1973;Denens;; 1135; Schweiz; 1135
4050;Gross;POINT (2626574 1226455);47.188512834231034;7.789259293259084;4G;;;Bahnhofstrasse;Gutenburg;; 4932; Schweiz; 4932
4051;Sehr Klein;POINT (2704440 1114090);46.1701864606709;8.790981433965536;4G;;;Locarno;Locarno;; 6605; Schweiz; 6605
4053;Mittel;POINT (2782311 1182809);46.771497178143775;9.825880638015832;4G;;;Clavadeler Alp (Jakobshorn);Davos Platz Talstr;; 7270; Schweiz; 7270
4054;Gross;POINT (2744128 1234921);47.24946707377637;9.342677696905087;4G;;;Bergstation Luftseilbahn Schwägalp-Säntis (LSS);Wildhaus;; 9658; Schweiz; 9658
4055;Gross;POINT (2567574 1116545);46.199577845952085;7.0185715985200945;4G;;;Saint-Maurice;Mex VS;; 1890; Schweiz; 1890
4056;Gross;POINT (2512722 1151508);46.509173115647535;6.301465392140868;4G;;;Route de St-George;St-George;; 1188; Schweiz; 1188
4057;Mittel;POINT (2617508 1147506);46.478648926753884;7.666622078602079;4G;;;Kandersteg International Scout Centre;Kandersteg;; 3718; Schweiz; 3718
4058;Gross;POINT (2515470 1155029);46.54119667322465;6.336619899034938;4G;;;Route de la Picarde;Bière Caserne;; 1145; Schweiz; 1145
4059;Gross;POINT (2741727 1220426);47.119645404587956;9.306412305930873;4G;Platzriet Garage; 10; Platzrietstrasse;Walenstadt;; 8880; Schweiz; 8880
4060;Gross;POINT (2612785 1266735);47.551209943932996;7.608465753468553;4G;;10; Hirzbodenweg;Basel;; 4052; Schweiz; 4052
4061;Mittel;POINT (2682170 1240740);47.31241864502609;8.52536980032887;4G;;1; Bahnhofplatz;Adliswil 1 Zust;; 8134; Schweiz; 8134
4062;Gross;POINT (2758050 1260390);47.47527495833346;9.535507149477324;4G;;;Reservoirweg;Staad SG;; 9422; Schweiz; 9422
4063;Gross;POINT (2562236 1122423);46.25217388993937;6.948943742791467;4G;;2; Rue du Coppet;Monthey Ave gare;; 1870; Schweiz; 1870
4064;Mittel;POINT (2674200 1246980);47.3694835070846;8.421006735149371;4G;;19; Schützenstrasse;Urdorf;; 8902; Schweiz; 8902
4065;Mittel;POINT (2685320 1255433);47.44415748922787;8.569825745595395;4G;;;Bürohaus Taubenriet;Kloten Kaserne;; 8302; Schweiz; 8302
4066;Gross;POINT (2530647 1178023);46.749774191913836;6.530989475661646;4G;;1; En Rionzi;Valeyres-Rances;; 1358; Schweiz; 1358
4067;Gross;POINT (2664031 1247781);47.37775384253102;8.286498646663457;4G;;;Hägglingerstrasse;Niederwil AG;; 5524; Schweiz; 5524
4068;Gross;POINT (2569314 1222456);47.152358766955466;7.034015124022184;4G;;22; Les Rainboeufs;Villeret;; 2613; Schweiz; 2613
4069;Gross;POINT (2566486 1181445);46.78332774785632;6.999760447771603;4G;;;Route de Payerne;Prez-vers-Noréaz;; 1746; Schweiz; 1746
4070;Gross;POINT (2493872 1119630);46.219728017755656;6.063199251640536;4G;;;Route des Moulières;Satigny Aire Ville;; 1242; Schweiz; 1242
4071;Gross;POINT (2594258 1119235);46.224535795289675;7.364224540318105;4G;;A9; Sion;Sion rue Casernes;; 1950; Schweiz; 1950
4072;Klein;POINT (2712530 1256475);47.44943693405422;8.930771378104225;4G;;4; Gewerbestrasse;Bichelsee;; 8363; Schweiz; 8363
4073;Mittel;POINT (2566930 1122454);46.252700612589656;7.0098092059302575;4G;;24; Avenue de la Gare;Les Posses-sur-Bex;; 1880; Schweiz; 1880
4074;Mittel;POINT (2612729 1258322);47.475545904538436;7.607482476505387;4G;;354a; Industriestrasse;Aesch BL Hauptstr;; 4147; Schweiz; 4147
4075;Mittel;POINT (2611304 1269872);47.57945011677173;7.588870601450322;4G;;84; Altrheinweg;Basel;; 4057; Schweiz; 4057
4076;Gross;POINT (2677794 1249930);47.395599778125124;8.469097501255716;4G;Postzentrum Mülligen; 161; Zürcherstrasse;Schlieren;; 8952; Schweiz; 8952
4077;Mittel;POINT (2683128 1237279);47.28117184905799;8.537397350515178;4G;;;Unterrenggstrasse;Sihlbrugg Station;; 8135; Schweiz; 8135
4078;Mittel;POINT (2540430 1180916);46.776744608033425;6.658636687341431;4G;;26; Rue de la Villette;Yverdon Dist;; 1400; Schweiz; 1400
4079;Mittel;POINT (2535814 1154364);46.53747988448782;6.6019144315834835;4G;;3; Chemin de Perréaz;Prilly;; 1008; Schweiz; 1008
4080;Gross;POINT (2659571 1251880);47.41503739821967;8.22799096967226;4G;;3; Steiacherstrasse;Mägenwil PL3;; 5506; Schweiz; 5506
4081;Gross;POINT (2551894 1115820);46.192116066477595;6.815521511096802;4G;;;cookie.bar;Les Crosets;; 1873; Schweiz; 1873
4082;Gross;POINT (2634485 1240310);47.3127658651639;7.894700221062722;4G;;;Bern - Zürich Strasse;Rothrist;; 4852; Schweiz; 4852
4083;Mittel;POINT (2605154 1229030);47.21218618686306;7.506662223656796;4G;;4; Römerstrasse;Bellach Zustellung;; 4512; Schweiz; 4512
4084;Gross;POINT (2633234 1127231);46.29567098504089;7.86994665526657;4G;;;Kantonsstrasse;Visp Verkauf;; 3930; Schweiz; 3930
