id;power;cordinates;antenna_Location_WGS84_E;antenna_Location_WGS84_N;type;building;streetNumber;street;town;district;state;country;postal
44;Gross;POINT (2647320 1163084);46.6173372799504;8.056405717902924;4G;;20; Pfingsteggstrasse;Grindelwald;; 3818; Schweiz; 3818
45;Gross;POINT (2561857 1190681);46.86615740298081;6.938370807295143;4G;;;Route du Vully;Grandcour;; 1543; Schweiz; 1543
46;Mittel;POINT (2597837 1202639);46.974817216364045;7.410206004530642;4G;;;Oro Sport Thalmatt;Herrenschwanden;; 3037; Schweiz; 3037
47;Gross;POINT (2632147 1156827);46.56195424902937;7.857889452405802;4G;;925d; Birg;Mürren;; 3825; Schweiz; 3825
49;Gross;POINT (2730395 1279452);47.65273681003993;9.17432932795543;4G;Hochhaus Freiegg; 23; Hauptstrasse;Kreuzlingen 3;; 8280; Schweiz; 8280
50;Gross;POINT (2549393 1150137);46.50062402327223;6.779384062123342;4G;;;Route du Village;Puidoux;; 1070; Schweiz; 1070
51;Gross;POINT (2596356 1200399);46.95466143968786;7.390761140904772;4G;;;Eymattstrasse;Bern;; 3027; Schweiz; 3027
52;Mittel;POINT (2754159 1260726);47.479219738969434;9.48402438433046;4G;;9; Scheffelstrasse;Rorschach Zust;; 9400; Schweiz; 9400
53;Mittel;POINT (2683463 1248296);47.380210762287;8.543875619055614;4G;ETH WES; 41; Weinbergstrasse;Zürich;; 8006; Schweiz; 8006
55;Mittel;POINT (2541530 1155158);46.545146971507506;6.676322212883498;4G;Centre Universitaire de Traitement et Réadaptation (CUTR) Sylvana; 10; Chemin de Sylvana;Epalinges;; 1066; Schweiz; 1066
57;Mittel;POINT (2714641 1112188);46.15142093838421;8.922572802193077;4G;;42; Via Cantonale;Contone;; 6594; Schweiz; 6594
59;Sehr Klein;POINT (2622420 1259120);47.482464920383904;7.7360797389447225;4G;Migros; 8; Kasernenstrasse;Liestal Zustellung;; 4410; Schweiz; 4410
60;Sehr Klein;POINT (2747141 1255092);47.430171346619176;9.389089878224738;4G;;;Haus 20;St. Gallen;; 9007; Schweiz; 9007
61;Mittel;POINT (2684538 1245285);47.352994692689045;8.557540772729869;4G;;201; Bellerivestrasse;Zürich;; 8008; Schweiz; 8008
62;Mittel;POINT (2538548 1154834);46.54196476318328;6.637489493696511;4G;;11; Route de la Clochatte;Lausanne;; 1018; Schweiz; 1018
63;Mittel;POINT (2716372 1094120);45.988622949956635;8.940496672871852;4G;;;Via Calprino;Lugano 4;; 6900; Schweiz; 6900
64;Gross;POINT (2610781 1117838);46.21190881799157;7.578342504273508;4G;;;Route de Prarion;Mission;; 3961; Schweiz; 3961
65;Sehr Klein;POINT (2665863 1210747);47.04448564291363;8.305340516047282;4G;;9; Bundesstrasse;Luzern Hirschengr;; 6003; Schweiz; 6003
66;Mittel;POINT (2706703 1243924);47.33753998233614;8.850527954828005;4G;;27; Bahnhofstrasse;Bäretswil;; 8344; Schweiz; 8344
67;Mittel;POINT (2611490 1267160);47.55505608149352;7.591273112073643;4G;Starbucks; 89; Freie Strasse;Basel;; 4051; Schweiz; 4051
68;Mittel;POINT (2681855 1245977);47.35955677745632;8.522160574601543;4G;;10; Giesshübelstrasse;Zürich Sihlcity;; 8045; Schweiz; 8045
69;Mittel;POINT (2499853 1118042);46.206362871420865;6.141040859644568;4G;;;Temple de Saint-Gervais;Genève;; 1201; Schweiz; 1201
70;Mittel;POINT (2685115 1239039);47.29674727848336;8.563991192329786;4G;;23; Bahnhofstrasse;Thalwil Zustellung;; 8800; Schweiz; 8800
71;Gross;POINT (2572169 1178626);46.75823247248407;7.074351653474301;4G;;;Impasse du Réservoir;Neyruz FR;; 1740; Schweiz; 1740
72;Gross;POINT (2669469 1225296);47.174975360417655;8.35502399556368;4G;;;St. Germanus;Abtwil AG;; 5646; Schweiz; 5646
73;Gross;POINT (2605509 1229509);47.216491801207525;7.511354123317569;4G;;4; Industriestrasse;Langendorf;; 4513; Schweiz; 4513
74;Gross;POINT (2737197 1254263);47.42486565126919;9.257068998581419;4G;;;Lindenstrasse;Gossau SG Mettend.;; 9200; Schweiz; 9200
75;Gross;POINT (2702120 1261577);47.497015542859295;8.793932217956295;4G;;;Andelbachstrasse;Elsau St. Gallers.;; 8352; Schweiz; 8352
76;Gross;POINT (2556990 1147540);46.47779535677243;6.878588409931673;4G;;;Chemin de Pangires;;; 1086; Schweiz; 1086
77;Gross;POINT (2676175 1209718);47.03412604813496;8.44085235753214;4G;;73; Rigistrasse;Weggis;; 6353; Schweiz; 6353
78;Mittel;POINT (2555936 1161518);46.603463617914436;6.863526981694724;4G;;;Porsel Stadium;Porsel;; 1699; Schweiz; 1699
79;Mittel;POINT (2717174 1260084);47.4810791288245;8.99328317474412;4G;;;Frauenfelderstrasse;Münchwilen TG;; 9542; Schweiz; 9542
80;Gross;POINT (2547489 1183434);46.799989176753584;6.750771233915625;4G;;;Chemin des Colons;Yvonand;; 1462; Schweiz; 1462
