geometry
"LINESTRING (8.545261663 47.3675192688, 8.5452197011 47.3675045112, 8.5452505389 47.3675153566)"
"LINESTRING (8.5425914525 47.3787437004, 8.5425502637 47.3786674543)"
"LINESTRING (8.5533564126 47.4024689093, 8.5534549533 47.4025121789, 8.5533850498 47.402481484)"
"LINESTRING (8.5045866329 47.4056533004, 8.5046027287 47.4056347823, 8.5045866329 47.4056533004)"
"LINESTRING (8.5368140311 47.3851610684, 8.5367909838 47.3852149171, 8.5367983657 47.3851877605)"
"LINESTRING (8.5457585828 47.3967186367, 8.5457224952 47.396666526, 8.5457456525 47.3966999652)"
"LINESTRING (8.5252675744 47.3902282984, 8.5252134689 47.3903891129)"
"LINESTRING (8.5041172919 47.3810308177, 8.5040931724 47.381041395, 8.5041178951 47.3810305532)"
"LINESTRING (8.5493457172 47.3706032339, 8.5492887517 47.3705420201, 8.5493208787 47.370576543)"
"LINESTRING (8.5357978265 47.3913458173, 8.5359404682 47.3915505384)"
"LINESTRING (8.5415030743 47.3769949659, 8.5414390098 47.3769983159, 8.5414778192 47.3769962865)"
"LINESTRING (8.5449552239 47.3938937609, 8.5449361054 47.3939179518)"
"LINESTRING (8.5388177888 47.3912682015, 8.5386577822 47.391397075)"
"LINESTRING (8.5486492186 47.4005665162, 8.5483661686 47.4005610755)"
"LINESTRING (8.5277691798 47.3797718575, 8.5278528274 47.3795750927)"
"LINESTRING (8.4723978034 47.3942449133, 8.4724256914 47.3942507859, 8.4724038025 47.3942461766)"
"LINESTRING (8.5472079476 47.3684191135, 8.5471641241 47.3683909238, 8.5471856033 47.3684047404)"
"LINESTRING (8.5268262742 47.3755292313, 8.5268520253 47.3755476878, 8.5268262742 47.3755292313)"
"LINESTRING (8.5064664243 47.4191857956, 8.5064480528 47.4191219256, 8.5064584587 47.4191581025)"
"LINESTRING (8.5463590124 47.4275089549, 8.5464090169 47.4275332496, 8.5463891777 47.4275236108)"
"LINESTRING (8.5402448531 47.4137681241, 8.5403436632 47.4138055649, 8.5402833179 47.4137826991)"
"LINESTRING (8.5362478115 47.3913159419, 8.536184971 47.3913416443)"
"LINESTRING (8.4777295792 47.3919044642, 8.4777278877 47.3918905522)"
"LINESTRING (8.4732669032 47.39348259, 8.4733007599 47.3934846956)"
"LINESTRING (8.5049512578 47.405233801, 8.5050051042 47.4052292441)"
"LINESTRING (8.5365122452 47.3982895315, 8.5366809237 47.3982227366)"
"LINESTRING (8.5230734727 47.3912765359, 8.5230448002 47.3912873817)"
"LINESTRING (8.5467537584 47.4120671189, 8.5465925105 47.4119294188)"
"LINESTRING (8.5246900452 47.3905580138, 8.5248269015 47.390644506)"
"LINESTRING (8.5533396583 47.4024615524, 8.553231777 47.4024141811, 8.5532969675 47.4024428067)"
"LINESTRING (8.5455947134 47.365338622, 8.545555907 47.3654064136, 8.5455786791 47.3653666328)"
"LINESTRING (8.546059934 47.3678694786, 8.5461404817 47.3679060908, 8.5460948549 47.3678853516)"
"LINESTRING (8.5449581037 47.393984429, 8.5449553107 47.3939198604, 8.5449570794 47.3939607504)"
"LINESTRING (8.5259206776 47.3941124829, 8.5258149853 47.3941184072, 8.5258959483 47.394112825)"
"LINESTRING (8.5503842558 47.4121973096, 8.5505105363 47.4121716696)"
"LINESTRING (8.5180948878 47.3810737728, 8.5180733282 47.3810831034, 8.5180839035 47.3810785266)"
"LINESTRING (8.5202487505 47.3738266174, 8.5202621352 47.3738501972)"
