id;power;cordinates;AccidentLocation_WGS84_E;AccidentLocation_WGS84_N;building;streetNumber;street;town;district;state;country
1;Mittel;POINT (2701702 1265811);47.53515460956124;8.789353037355866;;;Rickenbach-Attikon;;; 8544; Schweiz
2;Mittel;POINT (2618398 1227312);47.19649866063911;7.681416632928968;;56; Niederönzstrasse;;; 3375; Schweiz
3;Mittel;POINT (2609644 1213344);47.07104380804479;7.565598794288042;;;Winkelweg;;; 3312; Schweiz
4;Mittel;POINT (2560331 1182192);46.78970810946701;6.9190962976510715;;1; Vers-chez-Perrin;;; 1551; Schweiz
5;Sehr Klein;POINT (2557146 1210825);47.04706359230745;6.874682347733048;;2; Avenue de la Gare;;; 2208; Schweiz
6;Mittel;POINT (2560438 1135393);46.36874094899773;6.924524097915273;;;STEP Riviera;;; 1847; Schweiz
7;Mittel;POINT (2646296 1203224);46.97847224393233;8.047098281124056;;;Hasle;;; 6166; Schweiz
8;Mittel;POINT (2832991 1202729);46.93475083357542;10.499076778755999;;;Reschenstraße;;; 6542; Österreich
9;Sehr Klein;POINT (2675396 1249439);47.39146281721331;8.437253906575133;;41; Stationsstrasse;;; 8902; Schweiz
10;Klein;POINT (2750263 1260384);47.477046824228836;9.43223909029437;;532; Horchentalstrasse;;; 9402; Schweiz
12;Mittel;POINT (2635425 1266461);47.54791653827916;7.909203319948942;;;Mumpf;;; 4322; Schweiz
13;Sehr Klein;POINT (2681710 1265619);47.5362189344344;8.523836889289855;;;Chellerhalsstrasse;;; 8180; Schweiz
15;Mittel;POINT (2722894 1256204);47.445145676641665;9.068085412957599;;4; Bahnhofstrasse;;; 9536; Schweiz
17;Mittel;POINT (2573924 1182070);46.78928358965743;7.097125912387156;;;Matran;;; 1753; Schweiz
19;Sehr Klein;POINT (2689983 1174973);46.71989067816557;8.615640174822024;;;Gotthardstrasse;;; 6482; Schweiz
21;Mittel;POINT (2708189 1278131);47.64490067137565;8.878492449228201;;7; Bahnhofstrasse;;; 8264; Schweiz
24;Mittel;POINT (2761527 1199895);46.93049987104935;9.55991655714493;;A13; Zizers;;; 7205; Schweiz
25;Sehr Klein;POINT (2691950 1177931);46.74622780715217;8.641958432816827;;;Dangelstrasse;;; 6482; Schweiz
26;Klein;POINT (2762155 1259789);47.468872018524884;9.589723427984811;;;Bahnweg;;; 9424; Schweiz
27;Sehr Klein;POINT (2692356 1233045);47.24186684838141;8.658482699228191;;;Seeweg;;; 8820; Schweiz
28;Mittel;POINT (2689902 1284102);47.701356519699885;8.636368070558468;;;Feuerwehrzentrum;;; 8200; Schweiz
29;Mittel;POINT (2639177 1197038);46.92328728287556;7.953004088944043;;;Reitweg Escholzmatt-Schüpfheim;;; 6182; Schweiz
30;Mittel;POINT (2507515 1137750);46.384725744594974;6.236382700113308;;;Aimé Pouly;;; 1260; Schweiz
31;Mittel;POINT (2564793 1185450);46.819266020562324;6.977281409169581;;;Cousset;;; 1774; Schweiz
32;Mittel;POINT (2570597 1257697);47.4693855086434;7.048614753769228;;;Grandgourt;;; 2923; Schweiz
33;Klein;POINT (2688186 1281264);47.67606983529929;8.612943719278203;;;Rheinfallweg;;; 8248; Schweiz
34;Sehr Klein;POINT (2693411 1179918);46.76389642477431;8.66148025758322;;;Intschitobelbrücke;;; 6474; Schweiz
35;Mittel;POINT (2777614 1165828);46.62008059533266;9.757840760508964;;749; Sagliaz;;; 7482; Schweiz
38;Klein;POINT (2612792 1265291);47.53822285463122;7.6085174123379185;;;Depot Dreispitz;;; 4023; Schweiz
39;Mittel;POINT (2676268 1236607);47.27595629549183;8.446619474829427;;;Affoltern am Albis;;; 8909; Schweiz
40;Mittel;POINT (2572570 1181609);46.785082180196575;7.079420968614494;;181.1; Matran;;; 1753; Schweiz
41;Sehr Klein;POINT (2580101 1245052);47.35601266864626;7.175242398904327;;;La Lomène;;; 2882; Schweiz
42;Mittel;POINT (2618536 1170554);46.68595010238892;7.680932061199404;;14; Bahnhofstrasse;;; 3700; Schweiz
43;Sehr Klein;POINT (2735116 1219519);47.11287180776442;9.219047124947245;;6; Alte Staatsstrasse;;; 8877; Schweiz
44;Sehr Klein;POINT (2626389 1128326);46.30582423201302;7.781177078225433;;E62; Niedergesteln;;; 3942; Schweiz
45;Mittel;POINT (2703589 1279829);47.66091214449125;8.817681813877533;;;Etzwilen;;; 8259; Schweiz
46;Klein;POINT (2675571 1215285);47.084266212382644;8.433835247509382;;;Haltikerstrasse;;; 6403; Schweiz
47;Sehr Klein;POINT (2561016 1172726);46.704599682382074;6.9288749274722425;;;Route de Bocheferra;;; 1680; Schweiz
48;Klein;POINT (2653825 1257708);47.46794725663234;8.152558230146948;;;Untere Eichhalde;;; 5213; Schweiz
49;Mittel;POINT (2586487 1197835);46.931469169089745;7.2611890467402445;;135a; Feld;;; 3204; Schweiz
50;Klein;POINT (2688945 1205482);46.99443726772893;8.608011473259591;;8; Olympstrasse;;; 6440; Schweiz
51;Mittel;POINT (2573044 1195733);46.91215015059885;7.0847912393832315;;;Seeweg;;; 3280; Schweiz
53;Mittel;POINT (2716617 1279845);47.65886710103985;8.991082543848957;;;Schorenstrasse;;; 8266; Schweiz
54;Mittel;POINT (2640963 1229863);47.21843207647938;7.979419870858338;;;Dagmersellen Bahnhof;;; 5262; Schweiz
55;Mittel;POINT (2709420 1268273);47.55605308559526;8.892440967700868;;11; Lindenweg;;; 8500; Schweiz
56;Mittel;POINT (2635714 1240912);47.31811509275952;7.911001593172164;;;Altglassammelstelle;;; 4663; Schweiz
57;Klein;POINT (2576849 1248966);47.391109289077434;7.131996154055601;;;Sur le Tunnel;;; 2950; Schweiz
59;Klein;POINT (2683672 1251910);47.412686030381295;8.547319039475271;Andreasturm; 5; Andreasstrasse;;; 8050; Schweiz
61;Gross;POINT (2666837 1269186);47.56997884847968;8.32685904296833;;1; Bahnhofplatz;;; 5332; Schweiz
62;Sehr Klein;POINT (2740810 1252359);47.406982566903956;9.304338682083708;;12; Kunklerstrasse;;; 9015; Schweiz
64;Mittel;POINT (2668595 1215226);47.08449448894397;8.341966900655542;;5b; Rischstrasse;;; 6030; Schweiz
65;Sehr Klein;POINT (2722476 1281543);47.67306562404122;9.06952826510393;;;Parkplatz Badi;;; 8272; Schweiz
66;Mittel;POINT (2559009 1170024);46.68017382215734;6.902873693327875;;;Route de Siviriez;;; 1680; Schweiz
67;Mittel;POINT (2691663 1177310);46.74068181669129;8.638078916185268;;A2; Gurtnellen;;; 6482; Schweiz
69;Mittel;POINT (2587479 1193523);46.892701383418704;7.274334631599295;;;Laupenstrasse;;; 3176; Schweiz
70;Mittel;POINT (2645889 1259024);47.48038413646948;8.04743500858354;;74; Hübstelhof;;; 5027; Schweiz
71;Mittel;POINT (2608605 1196108);46.916018634965155;7.551595618885428;;;Vielbringen;;; 3076; Schweiz
72;Sehr Klein;POINT (2688303 1251233);47.40599289884575;8.608539434095976;;;Stettbach;;; 8304; Schweiz
74;Sehr Klein;POINT (2647433 1205789);47.00146374891304;8.06230895501782;;4; Wilzigen;;; 6162; Schweiz
76;Mittel;POINT (2539291 1181414);46.781121061532495;6.643657648326165;;;Rue de l'Ancien-Stand;;; 1400; Schweiz
77;Sehr Klein;POINT (2550278 1147172);46.47401940404277;6.791231813483447;;;Route du Lac;;; 1071; Schweiz
78;Mittel;POINT (2750266 1263719);47.50703109477988;9.433403797357366;;;Heizwerk;;; 9320; Schweiz
79;Mittel;POINT (2758666 1190963);46.85087212362844;9.519251314066624;;;Sägenstrasse;;; 7000; Schweiz
80;Klein;POINT (2618478 1264227);47.52851868914971;7.683990936350016;;"A2;A3"; Pratteln;;; 4133; Schweiz
81;Mittel;POINT (2588946 1193741);46.89468853910254;7.29357902701989;Stoppani AG; 30; Laupenstrasse;;; 3176; Schweiz
82;Mittel;POINT (2756614 1217661);47.09142789243479;9.501559874441337;;;Weite-Wartau;;; 9476; Schweiz
83;Mittel;POINT (2583991 1207781);47.02087862861584;7.228061027762765;WKW Kallnach; 34; Römerstrasse;;; 3283; Schweiz
84;Mittel;POINT (2636249 1194224);46.89814117567163;7.914338413944607;;;Kreuzmatte;;; 6182; Schweiz
85;Mittel;POINT (2613572 1262822);47.51600161222631;7.618801905103283;;;Elektra Birseck;;; 4142; Schweiz
86;Mittel;POINT (2606445 1125827);46.28382972430472;7.522267052334134;;;Chemin des Cigales;;; 3960; Schweiz
87;Mittel;POINT (2678803 1227557);47.19426449423368;8.478534455845532;;1; Beim Bahnhof;;; 6312; Schweiz
88;Mittel;POINT (2558206 1143653);46.442907404148066;6.894773680837591;;;Park+Rail Clarens;;; 1815; Schweiz
90;Mittel;POINT (2593273 1245680);47.36192881856927;7.349576882777314;;1; Place de la Gare;;; 2800; Schweiz
91;Sehr Klein;POINT (2613335 1263608);47.52307557885831;7.615678979524636;;;Dammstrasse;;; 4142; Schweiz
92;Sehr Klein;POINT (2596752 1227353);47.19711330441609;7.395765484553868;;35; Tunnelstrasse;;; 2540; Schweiz
