Name;Transportunternehmen_Abkuerzung;Betriebspunkttyp_Bezeichnung;Verkehrsmittel_Bezeichnung;Gemeinde_Name;E;N;H;antenna_Location_WGS84_E;antenna_Location_WGS84_N;postal
Plan Morier;TPC;Haltestelle;Zug;Ormont-Dessus;2576181;1133624;1109;46.35357340696548;7.129196651387857;None
Geroldswil, Zentrum;VBZ;Haltestelle;Bus;Geroldswil;2673255;1252747;399;47.42145479786355;8.409441007942943;8954
Zofingen, Talpi;WTZ;Haltestelle;Bus;Zofingen;2638443;1238293;442;47.29440591072696;7.946871952408966;4801
Spiez, Des Alpes;PAG;Haltestelle;Bus;Spiez;2618455;1170934;602;46.68937061148902;7.679888493947624;None
Unterseen, Camping Jungfrau;PAG;Haltestelle;Bus;Unterseen;2630408;1170657;585;46.686442180914746;7.836122659147252;None
Fribourg, Champriond;TPF;Haltestelle;Bus;Fribourg;2577366;1182670;659;46.79480712126266;7.142174455419969;1708
Adelboden Geils (Laveygrat);BA;Haltestelle;Sesselbahn;Adelboden;2605760;1145130;1712;46.457478303261816;7.513615807609749;3715
Grandson, croisée de Fiez;PAG;Haltestelle;Bus;Grandson;2539964;1185222;465;46.81543485849512;6.65196900438413;1422
Brittnau, Lärchenweg;AVA;Haltestelle;Bus;Brittnau;2638619;1235629;448;47.27043480367063;7.948969917529348;4805
Schaan, Kinderheim;VLM;Haltestelle;Bus;Schaan;2757957;1226539;502;47.17093692400355;9.522347184989224;None
Höchsthorn;BA;Haltestelle;Sesselbahn;Adelboden;2608349;1146339;1882;46.46832699209255;7.547336994779267;3715
Aldesago;FMB;Haltestelle;Standseilbahn;Lugano;2719376;1096632;613;46.0106911944774;8.97989213831726;6901
Sisseln AG, DSM;PAG;Haltestelle;Bus;Sisseln;2640716;1266928;302;47.551810147635045;7.97952899716582;None
Cumascheals;LHB;Haltestelle;Sesselbahn;Vaz/Obervaz;2758869;1179658;2281;46.74916660105245;9.517983499328563;7082
Lossy, école;TPF;Haltestelle;Bus;La Sonnaz;2575072;1186742;570;46.83135368755273;7.111905010339842;None
St. Gallen, Sporthalle;VBSG;Haltestelle;Bus;St. Gallen;2745168;1253872;677;47.41964005899426;9.362550311457534;9023
Ausserberg, Giblätt;PAG;Haltestelle;Bus;Ausserberg;2631382;1128728;806;46.30922615058745;7.846013004735753;3938
Cumiasca, Campiroi;ABl;Haltestelle;Bus;Acquarossa;2714331;1145200;826;46.44838415082381;8.926665174823453;6716
Uttwil, Bahnhof;PAG;Haltestelle;Bus;Uttwil;2743013;1272299;406;47.58579322920036;9.339919036412129;8592
Lumino, Al Dazio;PAG;Haltestelle;Bus;Lumino;2726093;1121204;268;46.230461842644765;9.073199626804922;6533
Matten b. I., Wychelstrasse;PAG;Haltestelle;Bus;Matten bei Interlaken;2632026;1170015;569;46.68059157650527;7.857227648172576;None
Schwarzsee, Buntschena;TPF;Haltestelle;Bus;Plaffeien;2589939;1172767;924;46.70603573193669;7.307074644556033;1716
Vissoie, Mayoux-village;PAG;Haltestelle;Bus;Anniviers;2611106;1117667;1200;46.21036532103823;7.582549715138325;None
Bern, Weidmatt;SVB;Haltestelle;Bus;Bern;2596570;1198277;564;46.93557483346365;7.393588811210201;3029
Wolfhalden, Schönenbühl;PAG;Haltestelle;Bus;Wolfhalden;2760248;1256468;752;47.43948138657867;9.563245297891733;9427
Dübendorf, Claridenstrasse;VBG;Haltestelle;Bus;Dübendorf;2689844;1250020;441;47.39487576789736;8.628709108724136;None
Stels, Crals;PAG;Haltestelle;Bus;Schiers;2774244;1203549;1429;46.96013968520023;9.728233891001858;7220
Lamperswil TG, Illharterstr.;PAG;Haltestelle;Bus;Wigoltingen;2720181;1274566;444;47.610756660709946;9.037083521429258;8556
St. Gallen, Obere Waid;PAG;Haltestelle;Bus;St. Gallen;2749440;1257380;638;47.45022510142843;9.420317984265512;9023
Sierre, Stand;BS;Haltestelle;Bus;Sierre;2608467;1127100;546;46.295258903674046;7.548525159691;None
Brienz BE, Altersheim;PAG;Haltestelle;Bus;Brienz (BE);2646571;1178393;607;46.75509772800494;8.04817922495095;None
Mamishaus, Schönentannen;PAG;Haltestelle;Bus;Schwarzenburg;2594290;1185494;806;46.82057230489496;7.363809358572181;None
Mamishaus, Dorf;PAG;Haltestelle;Bus;Schwarzenburg;2595337;1184337;796;46.81017295459132;7.377541517258381;None
Zürich, Hürstholz;VBZ;Haltestelle;Bus;Zürich;2681820;1252351;446;47.41688479914399;8.52286303451282;8030
Hünenberg, Bösch;ZVB;Haltestelle;Bus;Hünenberg;2675556;1223832;445;47.16114080131434;8.43506675882785;None
Biel/Bienne, Gurzelen;VB TPB;Haltestelle;Bus;Biel/Bienne;2586238;1221500;437;47.14433058095639;7.257196453499555;2505
Pully, Montillier;TL;Haltestelle;Bus;Pully;2540062;1151528;447;46.512364417536645;6.657656034183158;1009
St-Léonard, Le Lac;PAG;Haltestelle;Bus;Saint-Léonard;2599080;1122556;499;46.25443458678985;7.426714108636126;None
Barbengo, Casaccia;PAG;Haltestelle;Bus;Collina d'Oro;2713283;1091440;273;45.96504426043721;8.899996376499473;None
Luzern, Sternmatt;VBL;Haltestelle;Bus;Luzern;2666423;1210065;480;47.03829556310221;8.31260917954993;6006
Niederwil AG, Gnadenthal;PAG;Haltestelle;Bus;Niederwil (AG);2665230;1249356;365;47.39180131531516;8.302603628937948;None
Zürich, Geeringstrasse;VBZ;Haltestelle;Bus;Zürich;2678622;1252036;501;47.41444152684199;8.480434372208665;8030
Mümliswil, Lobisei;PAG;Haltestelle;Bus;Mümliswil-Ramiswil;2620456;1242260;530;47.33088800904431;7.709253238463392;None
Guntmadingen, Dorf;VBSH;Haltestelle;Bus;Beringen;2683980;1282335;438;47.686253250621526;8.557145833695948;8222
Ichertswil, alte Post;PAG;Haltestelle;Bus;Lüterkofen-Ichertswil;2604683;1222959;487;47.157582662786;7.500382731926786;None
St. Erhard, Heidenacher;PAG;Haltestelle;Bus;Knutwil;2648226;1226744;560;47.189888822338375;8.074968186125973;6213
Parpaner Rothorn;LHB;Haltestelle;Kabinenbahn;Vaz/Obervaz;2764952;1179087;2865;46.74255413268767;9.597355502881864;7082
Zilacher b. Rosshäusern;PAG;Haltestelle;Bus;Mühleberg;2587888;1198427;598;46.93682151102572;7.279570126433138;3203
Genève, Baulacre;TPG;Haltestelle;Bus;Genève;2499731;1119167;404;46.21646334618025;6.139218644334911;1208
Niedergesteln, Wannumoos;RA;Haltestelle;Bus;Niedergesteln;2626753;1128978;631;46.311674953873336;7.785939185564483;None
Gerra (Gambarogno);SBB CFF FFS;Haltestelle;Zug;Gambarogno;2704068;1108731;222;46.12204385982702;8.784974849275388;None
Lenzburg, Schule Lenzhard;RBL;Haltestelle;Bus;Lenzburg;2654935;1249074;406;47.390203774290384;8.166219074953359;None
Steinhausen, Sennweid;ZVB;Haltestelle;Bus;Steinhausen;2679246;1227025;417;47.18942678415086;8.48428617838402;6312
Luzern, Eisfeldstrasse;VBL;Haltestelle;Bus;Luzern;2666999;1210354;462;47.04083701976875;8.32023012785248;6006
Burgdorf, Musikschule;BLAG;Haltestelle;Bus;Burgdorf;2614153;1211609;542;47.05535702248259;7.624908053846689;3401
Thalwil, Pilgerweg;SZU;Haltestelle;Bus;Thalwil;2684855;1239144;446;47.29772508546412;8.560573868255046;None
Wald ZH, Farnboden;VZO;Haltestelle;Bus;Wald (ZH);2711620;1237950;660;47.28300265296868;8.914088612193721;None
Prazet;PAG;Haltestelle;Bus;Zernez;2799794;1171969;1593;46.66902572592491;10.049924176880076;7530
Schiers, Tersier;PAG;Haltestelle;Bus;Schiers;2769948;1205404;716;46.97793274980341;9.672508394087538;7220
Epauvillers, haut du village;PAG;Haltestelle;Bus;Clos du Doubs;2575308;1242593;714;47.33373298652655;7.111939035988245;None
Siblingen, Dorf;VBSH;Haltestelle;Bus;Siblingen;2681245;1285380;511;47.713979884345854;8.521282717723166;8225
Falera, Mulin;PAG;Haltestelle;Bus;Falera;2736640;1185058;1233;46.80265819870353;9.228761910643104;7153
Teufen AR, Schönenbühl;PAG;Haltestelle;Bus;Teufen (AR);2747276;1250201;838;47.38616437687436;9.389266840730272;None
Rufi, Wiesental;PAG;Haltestelle;Bus;Schänis;2721886;1228172;447;47.193255687768925;9.047104798931906;8718
Kemptthal;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;Lindau;2695543;1256555;469;47.45284260680389;8.705583645410119;8315
Langnau a.A.,Schwerzi-Wildpark;SZU;Haltestelle;Bus;Langnau am Albis;2682796;1238001;478;47.28770696788521;8.533142704111633;None
Oberschlatt TG, Fallentor;PAG;Haltestelle;Bus;Schlatt (TG);2694398;1279425;442;47.6586676690624;8.695259561790579;None
Hundwil, Sonderau;PAG;Haltestelle;Bus;Hundwil;2742553;1247514;765;47.36304309867359;9.325880222719691;9064
Bémont NE, restaurant;PAG;Haltestelle;Bus;La Brévine;2532384;1201591;1051;46.96194073060156;6.550221624387452;None
Altdorf UR, Langmatt;AAGU;Haltestelle;Bus;Altdorf (UR);2691208;1192541;445;46.87773680559544;8.635164893134055;None
Bremgarten BE, Kunoweg;SVB;Haltestelle;Bus;Bremgarten bei Bern;2599650;1202711;521;46.975468498634726;7.434032257267133;None
Chamby, Brison;PAG;Haltestelle;Bus;Montreux;2560094;1145124;924;46.45625502636235;6.9192145426980805;None
Claro, Scubiago;PAG;Haltestelle;Bus;Bellinzona;2721966;1124869;281;46.26418496138984;9.02067359145786;6503
Bern, Niederbottigen;SVB;Haltestelle;Bus;Bern;2594915;1198518;585;46.9377318776401;7.371852083864742;3029
Wichtrach, Käserei;SVB;Haltestelle;Bus;Wichtrach;2610504;1187948;536;46.84259016468916;7.576337945268247;3114
Lenk, Port;AFA;Haltestelle;Bus;Lenk;2600864;1146957;1451;46.473936983949976;7.449890394258322;None
St. Niklaus VS, Altersheim;MGB;Haltestelle;Bus;St. Niklaus;2627875;1113500;1177;46.172396974080335;7.799581610210964;None
Crêt-d'y-Bau;MVR;Haltestelle;Zahnradbahn;Montreux;2562857;1142760;1284;46.43514905286895;6.955367537708254;None
Siblingen, Näppental;VBSH;Haltestelle;Bus;Siblingen;2679658;1286740;450;47.726404428895;8.500382315069706;8225
Les Collons, Sporting;TSD;Haltestelle;Bus;Vex;2595846;1114308;1846;46.180226410044746;7.384850741841973;1981
Schaan, Rheindenkmal;VLM;Haltestelle;Bus;Schaan;2755934;1226330;447;47.16953785514679;9.495600460948658;None
Eschenz, Brüelweg;THURBO;Haltestelle;Bus;Eschenz;2707855;1278471;407;47.64801295691939;8.874131074456718;8264
Räterichsboden;PAG;Haltestelle;Bus;Guttannen;2668025;1160398;1767;46.59139040136634;8.326295566626957;3864
Pezzolo, Canvetto Tiratori;PAG;Haltestelle;Bus;Capriasca;2718234;1103795;570;46.075314634459474;8.966953211793399;None
