Name;Transportunternehmen_Abkuerzung;Betriebspunkttyp_Bezeichnung;Verkehrsmittel_Bezeichnung;Gemeinde_Name;E;N;H;antenna_Location_WGS84_E;antenna_Location_WGS84_N;postal
Griesenberg, Hub;PAG;Haltestelle;Bus;Amlikon-Bissegg;2719715;1268770;559;47.55872565217896;9.02932433069972;8514
Leukerbad, Therme/Rehazentrum;LLB;Haltestelle;Bus;Leukerbad;2614423;1136296;1374;46.37788155581915;7.626103451335918;3954
Martigny, Fond. Gianadda;BUM;Haltestelle;Bus;Martigny;2571423;1105128;470;46.09705165273365;7.069132900774569;None
Rhäzüns;RhB FR VR;Haltestelle und Bedienpunkt;Zug;Rhäzüns;2749660;1185038;654;46.79967876556559;9.399263153301147;7403
Dietwil, Wannenmatt;ZVB;Haltestelle;Bus;Dietwil;2672576;1221568;408;47.14111169089218;8.395406301583362;6042
Wohlen AG, Cheiblerrain;PAG;Haltestelle;Bus;Wohlen (AG);2664493;1244402;460;47.34731888596042;8.292129274031028;None
Milken, Steinern;PAG;Haltestelle;Bus;Schwarzenburg;2593670;1181760;988;46.78697791961061;7.355737046177721;None
Schüpbach, Dorf;BLAG;Haltestelle;Bus;Signau;2622557;1197470;715;46.92794414230071;7.734817350625041;3534
Mühlethurnen, Adler;PAG;Haltestelle;Bus;Thurnen;2605190;1184952;588;46.81570226788342;7.506639801290521;None
Posat, village;TPF;Haltestelle;Bus;Gibloux;2570890;1176350;678;46.73770428183484;7.057755970257041;None
Sion, Brasserie;PAG;Haltestelle;Bus;Sion;2593975;1121066;561;46.24100422198507;7.360532730955023;None
Lavey-Village, centre;PAG;Haltestelle;Bus;Lavey-Morcles;2567462;1118813;438;46.219974128716665;7.016962298697896;None
Trub, Grundsäge;BLAG;Haltestelle;Bus;Trub;2633538;1198837;796;46.9397776110832;7.879101391500567;3556
Lutry, Flon-de-Vaux;TL;Haltestelle;Bus;Lutry;2542682;1151341;483;46.51091223679332;6.691815407488561;1095
Madetswil, Bläsimühle;PAG;Haltestelle;Bus;Russikon;2702994;1252476;616;47.41503702080147;8.803428493767758;8332
Oberwald;MGB;Haltestelle und Bedienpunkt;Zug;Obergoms;2669378;1153683;1366;46.530850057979954;8.342939725284243;None
Aubonne, Le Bornalet;PAG;Haltestelle;Bus;Aubonne;2519943;1149452;480;46.49158371813273;6.395895253746815;1170
Schneisingen, Murzlen;PAG;Haltestelle;Bus;Schneisingen;2669732;1262790;445;47.51215770250261;8.364326422486068;5425
Schaffhausen, Gemsstübli;VBSH;Haltestelle;Bus;Schaffhausen;2690316;1285415;404;47.71310622526934;8.642151156733146;8202
Grenchen, Friedhof;BGU;Haltestelle;Bus;Grenchen;2596073;1226796;470;47.19209949105517;7.386809945226905;None
Flawil, Botsberg;PAG;Haltestelle;Bus;Flawil;2730864;1253221;624;47.41678582933585;9.172852598759627;None
Mannenbach (See);URh;Haltestelle;Schiff;Salenstein;2720889;1281669;397;47.67449331403041;9.048435961440871;8268
Mollis, Kanalstrasse;PAG;Haltestelle;Bus;Glarus Nord;2723947;1217323;440;47.09530888670177;9.071316050777332;None
Meiringen;zb;Haltestelle und Bedienpunkt;Zug;Meiringen;2656996;1175396;595;46.72733006997113;8.18424658123394;None
Verschiez;TPC;Haltestelle;Zug;Ollon;2564950;1128632;565;46.30817402746623;6.983668232370273;None
Lausen, Kirchstrasse;AAGL;Haltestelle;Bus;Lausen;2624098;1258352;329;47.47549840000178;7.7583009090091;None
Gondiswil, Haltestelle;GHU;Haltestelle;Bus;Gondiswil;2633775;1219785;623;47.128190450597735;7.883772599738016;4955
Coldrerio, Colle degli Ulivi;AMSA;Haltestelle;Bus;Coldrerio;2719913;1079818;354;45.85937693271424;8.982551365184342;6877
Schiers, Palottis;PAG;Haltestelle;Bus;Schiers;2770920;1204582;640;46.970292121936495;9.684968539006048;7220
Brig, untere Bielastrasse;PAG;Haltestelle;Bus;Brig-Glis;2642936;1129731;749;46.31761029063959;7.996083448284466;None
Dongio, Industrie;ABl;Haltestelle;Bus;Acquarossa;2716893;1143738;473;46.43479300193006;8.959632653796058;6716
Pezzolo, Paese;PAG;Haltestelle;Bus;Capriasca;2718281;1103992;584;46.077078179560765;8.967610212304507;None
Davos Dorf, Bedra;PAG;Haltestelle;Bus;Davos;2786201;1186937;1698;46.80753618072926;9.87846593379965;None
Hinteregg;FB;Haltestelle;Zug;Egg;2694201;1240175;545;47.305729123778754;8.684342742961627;None
Rinderberg;BDGAG;Haltestelle;Kabinenbahn;Zweisimmen;2593823;1150801;2011;46.508487379857925;7.358161781434839;None
Bern, Güterbahnhof;PAG;Haltestelle;Bus;Bern;2598780;1200030;551;46.95135137231722;7.422606268973889;3029
Grub AR, Dorf;PAG;Haltestelle;Bus;Grub (AR);2756125;1257280;813;47.44777333225729;9.508891044397089;None
Schwarzenbach SG, Wilerstrasse;PAG;Haltestelle;Bus;Jonschwil;2723283;1255951;563;47.44279789713294;9.07317181871448;9243
Scuol, Brentsch/Tulai;PAG;Haltestelle;Bus;Scuol;2817894;1186431;1230;46.79336814262041;10.29316538637984;7550
Uetikon am See, Bergheim;VZO;Haltestelle;Bus;Uetikon am See;2694300;1236460;586;47.2723047081528;8.684871487518656;8707
Sils/Segl Maria, Fainera;SS;Haltestelle;Bus;Sils im Engadin/Segl;2778824;1145092;1804;46.433306900265805;9.765601486817172;None
Echandens, poste;MBC;Haltestelle;Bus;Echandens;2531142;1153599;412;46.53013336566369;6.541129905017069;None
Renens VD, Hôtel-de-Ville;TL;Haltestelle;Bus;Renens (VD);2534645;1154215;418;46.53602624753656;6.58669772785952;None
Mayens-de-Chamoson, Ravoire;PAG;Haltestelle;Bus;Chamoson;2580984;1117204;1109;46.206020056582;7.192267613520594;None
Wigoltingen, Dorf;PAG;Haltestelle;Bus;Wigoltingen;2719748;1273205;424;47.59859816971312;9.030958642156776;8556
Fimmelsberg, Kreuz;PAG;Haltestelle;Bus;Amlikon-Bissegg;2720136;1269128;543;47.5618678234826;9.035013568542164;8514
Bioggio;FLP;Haltestelle;Zug;Bioggio;2713874;1096684;292;46.01210883334777;8.908886215025438;6934
Epalinges, Bois-Murat;TL;Haltestelle;Bus;Epalinges;2539852;1155168;720;46.54508787125117;6.654444999507224;1066
Winterthur, Rudolfstrasse/HB;SBW;Haltestelle;Bus;Winterthur;2696750;1261834;439;47.50013897262527;8.7227319433606;8410
Vétroz, poste;PAG;Haltestelle;Bus;Vétroz;2587642;1119377;487;46.225723419075486;7.278472757050701;1963
Lausanne, jardin botanique;TL;Haltestelle;Bus;Lausanne;2537407;1151579;413;46.51257970915432;6.623057263405929;1012
La Caffe, hameau;PAG;Haltestelle;Bus;Martigny-Combe;2567471;1101647;1279;46.06555916174136;7.018274457040662;None
Naters, Fiischter-Fäld;MGB;Haltestelle;Bus;Naters;2643300;1130650;680;46.32585371677411;8.000894542260937;3904
Petit-Lancy, De-Ternier;TPG;Haltestelle;Bus;Lancy;2497274;1116681;414;46.19373244610854;6.107930573048972;None
La Givrine, gare;NStCM;Haltestelle;Bus;Saint-Cergue;2498099;1145652;1207;46.45443312141499;6.112262649730811;None
Piotta Centrale (funicolare);FPR;Haltestelle;Standseilbahn;Quinto;2694900;1152570;1000;46.51770698547716;8.67532731718691;6777
Röthenbach i.E., Schindellegi;BLAG;Haltestelle;Bus;Röthenbach im Emmental;2622120;1190557;989;46.86577504065058;7.728744601656401;None
Wil SG, Adler;BOS;Haltestelle;Bus;Wil (SG);2721540;1258651;597;47.46740091220544;9.050804360003818;None
Lutry, Fénix;TL;Haltestelle;Bus;Lutry;2541782;1150897;427;46.50684055537377;6.680145621271185;1095
Horn, Bahnhof;PAG;Haltestelle;Bus;Horn;2752519;1262278;402;47.49355616019084;9.462805639060951;9326
Adelboden, Schermtanne;AFA;Haltestelle;Bus;Adelboden;2606739;1148674;1489;46.48934970203294;7.526409996614564;3715
Genève-Aéroport, Grand-Hangar;TPG;Haltestelle;Bus;Meyrin;2496700;1120102;418;46.22441396994344;6.099739125267413;1217
Schaffhausen, Talberg;VBSH;Haltestelle;Bus;Schaffhausen;2689547;1285780;451;47.71649397432395;8.631979186486193;8202
Evilard/Leubringen;VB TPB;Haltestelle;Standseilbahn;Evilard;2584872;1222090;694;47.14960750729746;7.239167865290102;2533
Bex, Servanne;TPC;Haltestelle;Bus;Bex;2567344;1122005;428;46.248681932372094;7.015209163768538;None
Amden, Brugg;AWA;Haltestelle;Bus;Amden;2728920;1223460;895;47.14954787585898;9.138553946507008;8873
Soral, douane;TPG;Haltestelle;Bus;Soral;2491622;1110478;465;46.13705451467614;6.036167836054437;1286
Rheinfelden, Rosengässchen;SBG;Haltestelle;Bus;Rheinfelden;2627153;1266952;289;47.55272591283644;7.799350731809168;None
Lausanne, Dapples;TL;Haltestelle;Bus;Lausanne;2537591;1151819;436;46.51475574968287;6.625422126873046;1012
Cureglia, Paese;PAG;Haltestelle;Bus;Cureglia;2716661;1099553;428;46.037436529442445;8.94557224554142;6944
Benken SG, Sand;PAG;Haltestelle;Bus;Benken (SG);2718191;1227997;410;47.19235294984048;8.998310647344294;None
Wohlen AG, Büttikerstrasse;PAG;Haltestelle;Bus;Wohlen (AG);2663197;1243658;429;47.34075295297773;8.274874357064753;None
Quarten, Kirche;BOS;Haltestelle;Bus;Quarten;2736892;1219131;530;47.1090178184087;9.242323671005792;8883
Laufen, Katholische Kirche;PAG;Haltestelle;Bus;Laufen;2604504;1252291;354;47.421409741636914;7.498312001785412;None
L'Auberson, école;TRAVYS;Haltestelle;Bus;Sainte-Croix;2525593;1185649;1100;46.81782177216232;6.46361034206407;None
Sion, Carrefour Ouest;PAG;Haltestelle;Bus;Sion;2592941;1119688;485;46.22859812142077;7.347148353813111;None
Mur, village;TPF;Haltestelle;Bus;Vully-les-Lacs;2571273;1199303;485;46.94418821337716;7.06131820944604;None
Basel, Schorenweg;BVB;Haltestelle;Bus;Basel;2612989;1269039;255;47.571927399616726;7.611242825916717;4028
Linthal Braunwaldbahn;SBB CFF FFS;Haltestelle;Zug;Glarus Süd;2719104;1198655;645;46.92831123818835;9.002637721351531;None
Riedlig;BKAG;Haltestelle;Kabinenbahn;Bürglen (UR);2695675;1193860;1258;46.88897234532254;8.694033237695216;None
Zürich, Fellenbergstrasse;VBZ;Haltestelle;Bus / Tram;Zürich;2679282;1247739;422;47.375717779502416;8.488417253478959;8030
Prosito, Paese;PAG;Haltestelle;Bus;Riviera;2719230;1126641;257;46.280612866457126;8.985647193127429;None
Obergoldbach, Post;PAG;Haltestelle;Bus;Landiswil;2617790;1201051;753;46.96030010179328;7.672364312687245;3434
Vevey, Samaritain;VMCV;Haltestelle;Bus;Vevey;2555180;1145641;402;46.46059420799941;6.855204758983506;1811
Lutry, Coullènes;TL;Haltestelle;Bus;Lutry;2542907;1152503;705;46.52138391879621;6.694603009067993;1095
Bülach, Mettmenriet;PAG;Haltestelle;Bus;Bülach;2683225;1263000;428;47.51247629492081;8.543465696921677;8180
Rivera-Bironico, Posta/FFS;PAG;Haltestelle;Bus;Monteceneri;2714869;1109154;470;46.12409443530682;8.924779462757364;None
Roggwil TG, Ebnet;AOT;Haltestelle;Bus;Roggwil (TG);2746873;1265644;438;47.52510601275056;9.389015793893364;None
Hombrechtikon, Post;VZO;Haltestelle;Bus;Hombrechtikon;2700769;1234346;498;47.25233715547649;8.769874253909931;8634
Nieder- und Oberurnen, Bahnhof;PAG;Haltestelle;Bus;Glarus Nord;2723183;1220321;428;47.12241234823185;9.062072249083997;None
Schaffhausen, Bruderhöfli;VBSH;Haltestelle;Bus;Schaffhausen;2691074;1283460;426;47.69542162270628;8.651847698143719;8202
Epalinges, Croix-Blanche;TL;Haltestelle;Bus;Epalinges;2541117;1155439;787;46.54763831527977;6.670902046721354;1066
Schaffhausen, Schweizersbild;VBSH;Haltestelle;Bus;Schaffhausen;2690663;1286179;464;47.71992822419544;8.646931247235425;8202
Bönigen, Hauetenbach;PAG;Haltestelle;Bus;Bönigen;2635842;1170930;567;46.68862853255739;7.907174247730605;3806
Niederschlag;SBA;Haltestelle;Sesselbahn;Amden;2729486;1224820;1295;47.16166734098476;9.146405114800356;8873
La Rogivue;PAG;Haltestelle;Bus;Maracon;2558260;1157164;839;46.564447427569775;6.894253459275097;1613
Bettlach, Post;BGU;Haltestelle;Bus;Bettlach;2599043;1227661;460;47.19989121615548;7.425998184300328;None
Bolken, Dorf;BSU;Haltestelle;Bus;Bolken;2617037;1227016;471;47.19387259574582;7.663445190577443;None
Morbio Inferiore, Pianelle;PAG;Haltestelle;Bus;Morbio Inferiore;2722946;1079702;410;45.85778993730795;9.021561248119504;6834
Montagny-près-Yverdon, Chamard poste;TRAVYS;Haltestelle;Bus;Montagny-près-Yverdon;2537538;1182474;435;46.79049327476729;6.620558954910441;None
Wald AR, Dorf;PAG;Haltestelle;Bus;Wald (AR);2754885;1253733;962;47.41617540050162;9.491225386014676;None
Thun, Schorendörfli;STI;Haltestelle;Bus;Thun;2613580;1175227;564;46.72810467053037;7.616287196403288;3609
Worbboden, Bahnhof;RBS;Haltestelle;Bus;Worb;2609195;1198048;573;46.93346148190744;7.5593797758312595;3076
Chur West;RhB FR VR;Haltestelle;Zug;Chur;2758152;1190846;578;46.84994245602435;9.51247372637448;7001
Dübendorf, Im Grund;VBG;Haltestelle;Bus;Dübendorf;2688993;1250750;433;47.401556317219374;8.617583641671361;None
Dinhard, Bahnhof/Welsikon;PAG;Haltestelle;Bus;Dinhard;2698890;1267820;462;47.55364986788996;8.752459987720936;8474
Gattikon, Gattikerhöhe;SZU;Haltestelle;Bus;Thalwil;2684460;1237775;435;47.28546357438721;8.555094394558202;None
Breil/Brigels, Campliun;PAG;Haltestelle;Bus;Breil/Brigels;2723323;1181424;1369;46.77257591625923;9.053367398098796;7165
Denges, La Pale;MBC;Haltestelle;Bus;Denges;2531216;1152356;385;46.51896019357437;6.542279767996452;1026
Concise, village;PAG;Haltestelle;Bus;Concise;2545179;1189211;445;46.85176654654877;6.719818529548706;1426
Les Paccots, Les Rosalys;TPF;Haltestelle;Bus;Châtel-Saint-Denis;2563241;1152053;1103;46.51876493077397;6.959623506959086;None
Zürich, Kreuzstrasse;VBZ;Haltestelle;Bus / Tram;Zürich;2683937;1246410;408;47.36318906735911;8.549798048774406;8030
St. Niklaus VS, Schulhaus;MGB;Haltestelle;Bus;St. Niklaus;2628100;1113850;1100;46.17553605870754;7.80251593237146;None
Pully, Roses;TL;Haltestelle;Bus;Pully;2539984;1151832;476;46.51509194184851;6.656600215115785;1009
Savosa, Paese;PAG;Haltestelle;Bus;Savosa;2717132;1098086;452;46.02416104604614;8.951289361098056;6942
Plons (Mels), Dorf;BOS;Haltestelle;Bus;Mels;2749111;1213677;476;47.057335300363526;9.401459449407415;None
Castelrotto, Valleggiolo;PAG;Haltestelle;Bus;Tresa;2708540;1094713;479;45.99525976829847;8.839578931030248;None
Troinex, mairie;TPG;Haltestelle;Bus;Troinex;2500338;1112910;425;46.16027585238147;6.148418884137365;1256
Obfelden, alte Post;PAG;Haltestelle;Bus;Obfelden;2674298;1235036;436;47.26205163535092;8.420326100426045;8912
Brügglen SO,Ochsenbeinschmiede;PAG;Haltestelle;Bus;Buchegg;2603596;1221258;544;47.14228919096467;7.486035347685908;None
Burgdorf, Oberdorf;BLAG;Haltestelle;Bus;Burgdorf;2613975;1210394;524;47.04443188449151;7.622527966473068;3401
Hagenbuch ZH, Dorf;PAG;Haltestelle;Bus;Hagenbuch;2709264;1264371;533;47.52099140547124;8.889410141893404;None
Ascona, Borgo;FART;Haltestelle;Bus;Ascona;2702853;1112639;208;46.15737994941183;8.77011736843424;6612
Bavois;SBB CFF FFS;Haltestelle;Zug;Bavois;2532735;1171096;442;46.68768092632874;6.559331279982623;1372
Mont-sur-Rolle, Bellefontaine;PAG;Haltestelle;Bus;Mont-sur-Rolle;2516256;1146392;384;46.46360814337596;6.348432657676936;1185
Walzenhausen, Lachen;PAG;Haltestelle;Bus;Walzenhausen;2761816;1256679;848;47.44099463593802;9.584100508496824;9428
Niederweningen, Bahnhof;PAG;Haltestelle;Bus;Niederweningen;2670144;1262695;446;47.511259512276624;8.369780316436968;8166
Le Châble VS;TMR;Haltestelle und Bedienpunkt;Zug;Val de Bagnes;2582687;1103117;816;46.07934641488352;7.21485530400936;None
Steg VS, Feldegg;PAG;Haltestelle;Bus;Steg-Hohtenn;2624046;1129244;633;46.31416989703769;7.750812202595258;None
Unterseen, Gelbenbrunnen;STI;Haltestelle;Bus;Unterseen;2628056;1170322;557;46.68353158430446;7.805357950762372;None
Mutrux, Le Ravin (Sylvabella);PAG;Haltestelle;Bus;Mutrux;2545508;1193056;756;46.88637908646437;6.723671815304675;None
Genève, Charmilles;TPG;Haltestelle;Bus;Genève;2498789;1118221;413;46.20781349459761;6.127218341109981;1208
Ziefen, Mühlegasse;AAGL;Haltestelle;Bus;Ziefen;2620001;1253304;428;47.43023377934367;7.70372599841144;4417
Oberdorf NW, Kaserne;PAG;Haltestelle;Bus;Oberdorf (NW);2672164;1201209;458;46.95804095176389;8.386733261017138;None
Winterthur, Im Geissacker;SBW;Haltestelle;Bus;Winterthur;2699122;1262975;477;47.51004612514488;8.754462288832652;8410
Winterthur, Langwiesen;SBW;Haltestelle;Bus;Winterthur;2693911;1263297;439;47.51370707129811;8.685366433131174;8410
Gstaad, Unter-Gstaad;PAG;Haltestelle;Bus;Saanen;2588009;1147411;1046;46.4779127581417;7.282501462786936;3792
Uznach, Kreuzkirche;PAG;Haltestelle;Bus;Uznach;2716503;1231866;418;47.227446293617525;8.977042093514223;None
Schilthorn;LSMS;Haltestelle;Kabinenbahn;Lauterbrunnen;2630414;1156296;2967;46.55725858675682;7.835253700552351;3822
Murten, Schwimmbad;PAG;Haltestelle;Bus;Murten;2575113;1197317;441;46.926479450191614;7.111863028623785;None
Versoix, Port Choiseul;TPG;Haltestelle;Bus;Versoix;2501908;1127168;387;46.2887490735252;6.165741719566782;1290
Heidbodme;STBAG;Haltestelle;Sesselbahn;Saas-Almagell;2641526;1103544;2341;46.082137073722365;7.975453975541883;3905
Troistorrents, Rt de la Crotaz;TPC;Haltestelle;Bus;Troistorrents;2559929;1120970;951;46.2389697289313;6.919153878273214;1872
Büren SO, Unterdorf;PAG;Haltestelle;Bus;Büren (SO);2617613;1255357;439;47.44876656276589;7.672155298532635;None
Grafstal, Thalegg;VBG;Haltestelle;Bus;Lindau;2695451;1255420;510;47.44264904753957;8.704121152468138;8315
Susten, Pfyngut;LLB;Haltestelle;Bus;Leuk;2612572;1127667;566;46.30029554333977;7.601813302541806;None
Chur, Albula;BuS;Haltestelle;Bus;Chur;2758750;1192080;569;46.860896310201056;9.520740982557088;7001
Strada i. E., spv. Chaflur;PAG;Haltestelle;Bus;Valsot;2828538;1194602;1071;46.86324727007165;10.43656435133469;None
Knonau, Bahnhof;PAG;Haltestelle;Bus;Knonau;2677807;1230449;460;47.22039283028263;8.465892005190494;8934
Zofingen, Brunnhaldenweg;WTZ;Haltestelle;Bus;Zofingen;2639284;1237689;499;47.28892388608245;7.957937496830493;4801
Pozzulasc, Fermata;PAG;Haltestelle;Bus;Poschiavo;2802868;1140420;1553;46.38445664390648;10.076211285026238;None
Baden, Grand Casino;RVBW;Haltestelle;Bus;Baden;2665671;1258959;377;47.47812240537435;8.309856043905823;5402
Ermatingen, Rathaus;PAG;Haltestelle;Bus;Ermatingen;2723305;1281150;409;47.66937651849928;9.080454614521672;8272
Wittenbach, Bächi;VBSG;Haltestelle;Bus;Wittenbach;2746130;1258643;591;47.46232471819626;9.37685658214206;9300
Bioggio, Via Mondonico;PAG;Haltestelle;Bus;Bioggio;2713055;1096412;436;46.009800062621615;8.898249125110233;6934
Uster, Herracher;VZO;Haltestelle;Bus;Uster;2697985;1244057;496;47.34008941402127;8.735221763230442;None
Schinznach Dorf, Oberdorf;PAG;Haltestelle;Bus;Schinznach;2652731;1255190;382;47.4453897680951;8.13775077753468;None
Schaffhausen, Belairpark;VBSH;Haltestelle;Bus;Schaffhausen;2688827;1284218;460;47.70254630407869;8.622071531152347;8202
Allmendingen b. Bern, Garten-Center;RBS;Haltestelle;Bus;Allmendingen;2605747;1196549;566;46.92001610409135;7.514082606740536;None
Horgen, Hüttenstrasse;SZU;Haltestelle;Bus;Horgen;2689218;1232669;549;47.23891657775909;8.616967182516955;8813
La Sage, Borza;PAG;Haltestelle;Bus;Evolène;2605777;1106012;1736;46.10558841705372;7.513357866255755;None
Biasca, Via ai Grotti;ABl;Haltestelle;Bus;Biasca;2717835;1136086;320;46.365806538323454;8.969943499101907;None
Turtmann, Abzw. Bahnhof;RA;Haltestelle;Bus;Turtmann-Unterems;2620225;1128471;625;46.30734190324665;7.701174335489355;None
Schlatt TG, Held;PAG;Haltestelle;Bus;Schlatt (TG);2694176;1281102;409;47.67377950582664;8.692661554288131;None
Stein AG, Zürcherstrasse;PAG;Haltestelle;Bus;Stein (AG);2638913;1265750;300;47.54132494087833;7.955474083013775;None
Gelfingen, Kreisel;ZVB;Haltestelle;Bus;Hitzkirch;2662632;1229579;471;47.214180202690365;8.265436312538899;None
Laupen BE, Schützenstrasse;PAG;Haltestelle;Bus;Laupen;2584916;1195595;484;46.91128593502999;7.240634443530057;None
Furi;ZBAG;Haltestelle;Kabinenbahn;Zermatt;2622737;1094502;1857;46.00169407314081;7.732135552974593;None
Konolfingen, Bahnhof;SVB;Haltestelle;Bus;Konolfingen;2613925;1192209;663;46.88085656355938;7.621315348053902;None
Wernetshausen, Dorf;VZO;Haltestelle;Bus;Hinwil;2708030;1239680;730;47.299157959433295;8.867060753332387;8340
Nyon, Champ-Colin;BNP;Haltestelle;Bus;Nyon;2505928;1137488;426;46.38214821861178;6.21580894613448;None
Surlej, Corvatschbahn;PAG;Haltestelle;Bus;Silvaplana;2782452;1147618;1877;46.455041694402674;9.813777639857404;None
Menzberg, Oberlehn/Napf;PAG;Haltestelle;Bus;Menznau;2642100;1210069;1023;47.04032118415355;7.99258687767273;6122
Pratteln, Längi;AAGL;Haltestelle;Bus;Pratteln;2620473;1264776;271;47.53339729060117;7.710507482737406;None
Melchsee-Frutt, alte Bergstat.;SMF;Haltestelle;Bus;Kerns;2663399;1180690;1910;46.77437142752533;8.268735811762726;6064
Epalinges, Pierraz;TL;Haltestelle;Bus;Epalinges;2540560;1156003;776;46.552662221100654;6.663567371460315;1066
Chambésy, Foretaille;TPG;Haltestelle;Bus;Pregny-Chambésy;2499417;1122287;412;46.2444788454627;6.1344771188016685;None
Gommiswald, Schulhaus;PAG;Haltestelle;Bus;Gommiswald;2719927;1232539;600;47.23288569955049;9.022423046448449;8737
Magden, Lanzenberg;PAG;Haltestelle;Bus;Magden;2628716;1264131;339;47.52728841742417;7.819933144481185;4312
La Fouly VS (télésiège);TLFC;Haltestelle;Sesselbahn;Orsières;2573693;1086756;1615;45.93188151729736;7.099515190283521;1937
Ecublens VD, Epenex/Pont-Bleu;TL;Haltestelle;Bus;Ecublens (VD);2533763;1154498;417;46.53848495609434;6.575160575521434;None
Eriz, Bödeli;STI;Haltestelle;Bus;Eriz;2628241;1181990;997;46.78848150758113;7.808493681557113;3619
Laufen, Schlachthuus;PAG;Haltestelle;Bus;Laufen;2604944;1252353;350;47.42196426616511;7.504143654450965;None
Bioggio, Stazione;FLP;Haltestelle;Bus;Bioggio;2713772;1096815;304;46.01330422183471;8.90760125736;6934
Lausanne, Port-Franc;TL;Haltestelle;Bus;Lausanne;2537729;1152641;491;46.5221626125757;6.627109208609941;1012
Walperswil, Post;WETA;Haltestelle;Bus;Walperswil;2583841;1212189;459;47.06052486811807;7.225930053389201;None
Lugano, Via Tesserete;TPL;Haltestelle;Bus;Lugano;2717109;1097072;350;46.01504531055837;8.950740029167184;6901
S. Vittore, Sassello;PAG;Haltestelle;Bus;San Vittore;2729290;1122062;287;46.23757153414335;9.114867870689084;None
Würenlingen, Bachstrasse;PAG;Haltestelle;Bus;Würenlingen;2661401;1265251;360;47.53512120657288;8.254078905031934;None
Uster, Apothekerstrasse;VZO;Haltestelle;Bus;Uster;2696451;1244709;460;47.346179152364265;8.71506691531158;None
Romoos, Talherrenburg;PAG;Haltestelle;Bus;Romoos;2644351;1206519;837;47.00824300296441;8.021857800414205;6113
Vessy, Chemin Vert;TPG;Haltestelle;Bus;Veyrier;2499802;1114369;418;46.173318989377805;6.141168279109303;1255
Mex VS;PAG;Haltestelle;Bus;Saint-Maurice;2566172;1114931;1108;46.18499001611763;7.000526370354692;None
Hermance, village;TPG;Haltestelle;Bus;Hermance;2507966;1128434;381;46.30099429163578;6.244091048995303;1248
Réclère, Les Grottes;PAG;Haltestelle;Bus;Haute-Ajoie;2560474;1245469;651;47.35887553710735;6.91542876627462;None
Dörflingen, Unterberg;VBSH;Haltestelle;Bus;Dörflingen;2695765;1284695;446;47.70585766705295;8.714594885312607;8239
Arosio, Bassa;PAG;Haltestelle;Bus;Alto Malcantone;2713247;1100507;829;46.04659802483188;8.901713296954231;None
Igis, Castaletweg;PAG;Haltestelle;Bus;Landquart;2762110;1201899;533;46.948377549461306;9.56828346326802;7302
Cadro, Scuole;ARL;Haltestelle;Bus;Lugano;2719522;1100340;440;46.04401419785728;8.982718844913828;6901
Savièse, Pradoumaye;PAG;Haltestelle;Bus;Savièse;2593777;1122424;815;46.25321842075337;7.357947400653237;1965
Albonago, Via Max Frisch;TPL;Haltestelle;Bus;Lugano;2718729;1096909;371;46.01329649985964;8.97161082435005;6901
Davos Monstein, Hofweg;VBD;Haltestelle;Bus;Davos;2778065;1176473;1582;46.71567577667913;9.76785229363513;None
Gryon Bois-Gentil;TPC;Haltestelle;Zug;Gryon;2571396;1125214;1175;46.27773360979876;7.067551309794021;1882
Melchsee-Frutt, Tannalp;SMF;Haltestelle;Bus;Kerns;2667244;1181212;1974;46.77868986232294;8.319152017068916;6064
Biel/Bienne, Museen/Musées;VB TPB;Haltestelle;Bus;Biel/Bienne;2585015;1220762;449;47.13766570062217;7.241097624589498;2505
Unterzollikofen;RBS;Haltestelle;Zug;Zollikofen;2601398;1204519;543;46.99173048302518;7.457009911043667;3052
Appenzell, Spital;PAG;Haltestelle;Bus;Schwende-Rüte;2749430;1244409;790;47.33360083627471;9.41585096330318;None
Stans, Spichermatt;PAG;Haltestelle;Bus;Stans;2670199;1201955;444;46.9649614852697;8.361034399585053;6371
Altstätten SG, Baumert;BOS;Haltestelle;Bus;Altstätten;2756950;1250450;753;47.386168762409056;9.517426170179675;None
Interlaken, Zentrum Artos;PAG;Haltestelle;Bus;Interlaken;2632716;1170526;569;46.68515478646417;7.866282351881535;None
Habsburg, Dorfplatz;PAG;Haltestelle;Bus;Habsburg;2656363;1257070;463;47.46199686371492;8.186139702246498;5245
Yverdon-les-Bains, Y-Parc/Découvertes;TRAVYS;Haltestelle;Bus;Yverdon-les-Bains;2539180;1179738;436;46.76603539093151;6.642427349868048;None
Biel/Bienne, Lechmann;VB TPB;Haltestelle;Bus;Biel/Bienne;2588718;1222773;447;47.15582818786061;7.289859610683501;2505
Bern, Schönegg;SVB;Haltestelle;Bus / Tram;Bern;2600100;1198100;536;46.93399192394487;7.439945917441939;3029
Ospizio Bernina;RhB FR VR;Haltestelle und Bedienpunkt;Zug;Poschiavo;2798434;1142976;2253;46.40876345645736;10.019697986579024;None
Altdorf UR, Post;AAGU;Haltestelle;Bus;Altdorf (UR);2691750;1192950;447;46.88134087992143;8.642356426068876;None
Birr, Bahnhof;PAG;Haltestelle;Bus;Birr;2658699;1254362;396;47.4374379783296;8.216762991311025;None
Teufen ZH, Unterteufen;PAG;Haltestelle;Bus;Freienstein-Teufen;2684914;1267345;428;47.551334231158506;8.566713934046822;None
